student_id,name,institution,degree,graduation_year,cgpa,technical_score,communication_score,behavioral_score,cognitive_score,resume_score,psychometric_behavioral,overall_score,experience_months,projects_count,is_placed,salary_lpa,role,placement_prob
STU0001,Student_2824_1,IIT Madras,B.Sc Data Science,2025,8.1,62.2,53.3,64.8,66.5,47.0,76.7,60.1,6,3,0,0.0,Not Placed,61.7
STU0002,Student_2424_2,IIT Hyderabad,B.Tech IT,2025,6.9,75.9,46.1,37.1,73.6,37.7,53.5,58.0,0,2,1,6.6,Software Engineer,57.3
STU0003,Student_9928_3,VIT Vellore,B.E CSE,2026,6.3,71.3,36.3,20.0,92.0,54.3,55.8,55.4,0,2,0,0.0,Not Placed,59.4
STU0004,Student_7924_4,NIT Trichy,B.Sc Data Science,2025,6.8,67.2,29.8,47.1,61.0,50.3,72.0,53.1,0,1,0,0.0,Not Placed,54.6
STU0005,Student_6881_5,NIT Trichy,B.Sc Data Science,2025,7.5,43.8,43.0,20.0,73.1,20.0,56.4,40.9,24,1,0,0.0,Not Placed,50.3
STU0006,Student_5803_6,BITS Pilani,BCA,2027,8.4,68.4,46.2,35.6,47.8,46.1,67.7,52.1,24,3,1,7.0,Technical Support,57.0
STU0007,Student_2654_7,VIT Vellore,B.Sc Data Science,2026,7.9,29.7,25.7,20.0,59.8,31.1,69.6,31.6,6,2,1,2.5,QA Engineer,42.2
STU0008,Student_2169_8,IIT Hyderabad,B.Tech ME,2027,6.5,58.8,46.1,52.8,62.8,44.8,51.7,54.3,6,0,1,4.3,Junior Developer,59.2
STU0009,Student_6313_9,NSIT Delhi,B.Tech CSE,2025,8.5,92.1,63.4,73.3,75.4,66.0,79.4,77.5,0,3,1,8.7,Data Scientist,83.7
STU0010,Student_6155_10,IIT Kanpur,B.Tech AI&ML,2026,7.5,96.3,28.1,72.6,71.3,73.4,55.8,71.9,0,1,1,7.8,Software Engineer,78.8
STU0011,Student_5304_11,DTU Delhi,B.Tech IT,2027,7.2,72.1,72.7,34.0,57.9,51.7,71.1,60.4,0,2,1,7.8,Junior Developer,62.9
STU0012,Student_2796_12,IIT Delhi,B.Tech ME,2027,6.9,75.3,54.1,62.6,59.5,56.3,55.3,64.2,0,5,1,6.1,Data Analyst,65.5
STU0013,Student_1188_13,BITS Pilani,B.Tech ECE,2027,7.9,70.2,49.2,37.9,48.8,51.1,57.6,54.4,6,1,0,0.0,Not Placed,64.7
STU0014,Student_5808_14,VIT Vellore,B.Tech ME,2026,7.3,73.1,79.4,47.0,73.9,57.6,57.8,67.7,6,5,0,0.0,Not Placed,64.3
STU0015,Student_3927_15,Anna University,B.Tech ECE,2027,7.6,100.0,67.1,65.4,69.5,66.0,78.3,78.5,0,0,1,9.6,Software Engineer,78.1
STU0016,Student_9689_16,IIT Madras,BCA,2026,8.4,46.8,53.8,20.0,78.8,63.7,55.0,49.3,12,2,0,0.0,Not Placed,51.2
STU0017,Student_6038_17,IIT Kanpur,B.Tech CSE,2025,7.6,54.9,20.0,34.2,54.1,49.6,66.8,43.1,0,1,0,0.0,Not Placed,54.6
STU0018,Student_2133_18,NSIT Delhi,B.Tech ME,2025,6.6,58.6,53.2,20.0,73.4,62.5,57.4,52.4,0,1,0,0.0,Not Placed,57.3
STU0019,Student_7932_19,IIT Kanpur,B.E CSE,2027,7.8,80.6,37.9,24.6,77.8,68.1,68.1,59.2,6,1,0,0.0,Not Placed,63.2
STU0020,Student_9479_20,SRM Chennai,B.Tech ECE,2025,6.7,69.6,53.1,28.9,98.0,61.4,63.9,61.6,0,0,1,6.1,QA Engineer,60.7
STU0021,Student_1964_21,IIT Kanpur,B.Tech ECE,2025,6.3,80.7,73.9,33.7,84.5,69.5,82.0,69.4,0,1,1,5.9,Full Stack Developer,72.8
